what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1335918642921
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1335918642921
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1335918642922
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1335918642922
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1335918642923
started,bundle,org.eclipse.wst.common.frameworks,1.2.101.v201107192200,"org.eclipse.wst.common.frameworks",1335918642923
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1335918642924
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1335918642925
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1335918642926
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1335918642926
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1335918642927
started,bundle,org.eclipse.wst.sse.ui,1.3.1.v201108191312,"org.eclipse.wst.sse.ui",1335918642928
started,bundle,org.eclipse.wst.validation,1.2.302.v201107140600,"org.eclipse.wst.validation",1335918642928
started,bundle,org.eclipse.wst.xml.core,1.1.601.v201108302147,"org.eclipse.wst.xml.core",1335918642930
started,bundle,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui",1335918642931
started,bundle,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.adt",1335918642931
started,bundle,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms",1335918642932
started,bundle,com.android.ide.eclipse.traceview,16.0.1.v201112150204-238534,"com.android.ide.eclipse.traceview",1335918642932
os,sysinfo,,,"macosx",1335918642938
arch,sysinfo,,,"x86_64",1335918642938
ws,sysinfo,,,"cocoa",1335918642938
locale,sysinfo,,,"en_US",1335918642938
processors,sysinfo,,,"8",1335918642938
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1335918642938
java.runtime.version,sysinfo,,,"1.6.0_31-b04-415-11M3635",1335918642938
java.specification.name,sysinfo,,,"Java Platform API Specification",1335918642938
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1335918642938
java.specification.version,sysinfo,,,"1.6",1335918642938
java.vendor,sysinfo,,,"Apple Inc.",1335918642938
java.version,sysinfo,,,"1.6.0_31",1335918642938
java.vm.info,sysinfo,,,"mixed mode",1335918642938
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1335918642938
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1335918642938
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1335918642938
java.vm.specification.version,sysinfo,,,"1.0",1335918642938
java.vm.vendor,sysinfo,,,"Apple Inc.",1335918642938
