what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1335873104776
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1335873105538
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335873109612
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335873113044
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335873123763
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335873152827
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335873160218
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335873269734
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335873272150
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335874313972
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335874315419
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335874326612
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335874328665
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335874893258
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335874894722
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335874915493
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335874916634
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335874923180
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335874924754
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335875171151
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335875172446
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335875314728
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335875316672
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335875317433
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335875320056
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335875340920
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335875342455
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335876315305
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335876318639
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335876504239
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335876506217
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335876507019
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335876509564
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335877252564
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335877253857
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335877687964
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335877688762
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335877691717
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335877692448
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335906034066
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335906034373
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335906035816
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335906036273
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335906042813
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1335906045465
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335906049109
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335906054048
opened,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1335906054491
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1335906054557
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335906061372
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335906106846
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1335906106863
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335906107910
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335906124918
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335906125404
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335906129192
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1335906130744
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1335906134960
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335906157798
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335906161845
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1335906179117
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1335906179269
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1335906180908
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1335906182998
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1335906183285
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1335906186385
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1335906211605
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1335906211941
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1335906213059
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1335906223244
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1335906223732
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1335906225068
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335906230165
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335906267780
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1335906271235
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1335906276883
