what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1335942832352
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1335942832544
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1335942832920
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1335942834384
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335942837300
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335942858171
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335942864406
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335942886329
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335942886902
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335942887887
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335942892766
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335942956380
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1335942958172
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1335942958373
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335942974454
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1335942974461
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335942979439
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335942981184
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335942981543
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1335942984915
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1335942985767
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1335942989468
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1335942991962
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1335942992743
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1335942997010
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1335942998441
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1335942999812
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1335942999972
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1335943000134
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1335943000286
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1335943000476
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1335943000764
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1335943001124
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1335943003664
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1335943012508
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1335943013308
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1335943016631
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1335943018269
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1335943019226
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1335943021764
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1335943021941
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1335943023438
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1335943026445
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1335943028311
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335943041772
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335943052575
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335943055033
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335943061831
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335943063602
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335943081455
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335943083088
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335943090307
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335943093985
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335943095091
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1335943098159
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1335943104729
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335943104998
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335943105651
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335943106717
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335943117144
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1335943118479
opened,view,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms.views.LogCatView",1335943121679
activated,view,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms.views.LogCatView",1335943121695
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335943123895
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335943127806
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1335943128555
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1335943128813
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1335943129255
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1335943129612
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1335943129978
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1335943130273
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1335943130640
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335943132469
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335943134472
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335943137041
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335943143309
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1335943151545
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1335943151787
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1335943151817
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1335943153089
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1335943153293
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1335943153330
